n,temps,nb_inter,nb_2opt
10,0.06122398376464844,2,1
10,0.040361881256103516,1,1
10,0.06029486656188965,2,0
10,0.044472694396972656,1,1
10,0.04546093940734863,1,1
10,0.019529104232788086,0,1
10,0.028685808181762695,1,1
10,0.06544899940490723,2,1
10,0.05078768730163574,3,0
10,0.03383183479309082,1,1
10,0.10361075401306152,4,0
10,0.0858769416809082,3,1
10,0.030933856964111328,1,1
10,0.03179192543029785,1,1
10,0.017934799194335938,0,1
10,0.08092999458312988,3,0
10,0.04107308387756348,1,1
10,0.060005903244018555,1,1
10,0.030133962631225586,1,1
10,0.017795085906982422,0,1
10,0.01839900016784668,1,1
10,0.04112696647644043,1,1
10,0.019543170928955078,0,1
10,0.01332712173461914,0,1
10,0.06652522087097168,4,1
10,0.05473899841308594,1,0
10,0.020151138305664062,0,1
10,0.08325600624084473,2,0
10,0.08237886428833008,2,1
10,0.04544520378112793,1,1
10,0.04506993293762207,1,1
10,0.05364084243774414,3,2
10,0.040086984634399414,2,1
10,0.028623104095458984,1,1
10,0.06262993812561035,2,1
10,0.04112601280212402,2,1
10,0.021584272384643555,0,1
10,0.06877732276916504,4,0
10,0.018304109573364258,0,1
10,0.03240489959716797,1,1
10,0.04080009460449219,1,1
10,0.024810075759887695,2,1
10,0.030137062072753906,1,1
10,0.05924415588378906,2,0
10,0.03034496307373047,3,1
10,0.09788393974304199,4,1
10,0.07723021507263184,3,1
10,0.033135175704956055,1,1
10,0.02790093421936035,0,0
10,0.0568089485168457,3,2
10,0.028647899627685547,1,1
10,0.09632110595703125,4,1
10,0.08163809776306152,2,1
10,0.10080265998840332,4,1
10,0.040985107421875,1,1
10,0.0419008731842041,1,1
10,0.06143379211425781,2,1
10,0.029642105102539062,1,1
10,0.02476024627685547,2,1
10,0.02940201759338379,1,1
10,0.02963709831237793,1,1
10,0.05323386192321777,3,1
10,0.12036466598510742,5,0
10,0.06055617332458496,2,1
10,0.0904998779296875,4,1
10,0.02654099464416504,0,0
10,0.04018998146057129,2,1
10,0.017335176467895508,0,1
10,0.017873287200927734,0,1
10,0.0456850528717041,1,1
10,0.028949975967407227,1,1
10,0.04219698905944824,2,1
10,0.04094195365905762,1,1
10,0.020266056060791016,0,1
10,0.04093790054321289,1,1
10,0.05935502052307129,2,1
10,0.060179948806762695,1,1
10,0.13676214218139648,6,0
10,0.024470806121826172,0,0
10,0.09650707244873047,4,1
10,0.09860610961914062,4,1
10,0.028982162475585938,1,1
10,0.13508009910583496,4,0
10,0.02359795570373535,0,1
10,0.028735876083374023,1,1
10,0.017590999603271484,0,1
10,0.02681708335876465,0,1
10,0.05452585220336914,1,0
10,0.06288480758666992,2,1
10,0.08202290534973145,3,1
10,0.01756119728088379,0,1
10,0.07859587669372559,3,1
10,0.017268896102905273,0,1
10,0.0411531925201416,1,1
10,0.032135009765625,1,1
10,0.018496990203857422,0,1
10,0.06435513496398926,2,1
10,0.01735997200012207,0,1
10,0.06449508666992188,2,1
10,0.0432131290435791,2,1
10,0.01252293586730957,0,1
